wort,kategorie,genus,artikel,plural,englisch,basisform,praeteritum,partizip_ii,hinweis
GartenHaus,Substantiv,n,das,GartenHäuser,,,,,Zusammensetzung aus 'Garten' + 'Haus'
GartenWerk,Substantiv,n,das,GartenWerke,,,,,Zusammensetzung aus 'Garten' + 'Werk'
GartenTicket,Substantiv,n,das,GartenTickets,,,,,Zusammensetzung aus 'Garten' + 'Ticket'
GartenStation,Substantiv,f,die,GartenStationen,,,,,Zusammensetzung aus 'Garten' + 'Station'
GartenLeitung,Substantiv,f,die,GartenLeitungen,,,,,Zusammensetzung aus 'Garten' + 'Leitung'
GartenLeiter,Substantiv,m,der,GartenLeiter,,,,,Zusammensetzung aus 'Garten' + 'Leiter'
GartenLeuchte,Substantiv,f,die,GartenLeuchten,,,,,Zusammensetzung aus 'Garten' + 'Leuchte'
GartenSchalter,Substantiv,m,der,GartenSchalter,,,,,Zusammensetzung aus 'Garten' + 'Schalter'
GartenSensor,Substantiv,m,der,GartenSensoren,,,,,Zusammensetzung aus 'Garten' + 'Sensor'
GartenAktuator,Substantiv,m,der,GartenAktuatoren,,,,,Zusammensetzung aus 'Garten' + 'Aktuator'
StraßenTür,Substantiv,f,die,StraßenTüren,,,,,Zusammensetzung aus 'Straßen' + 'Tür'
StraßenDach,Substantiv,n,das,StraßenDächer,,,,,Zusammensetzung aus 'Straßen' + 'Dach'
StraßenWand,Substantiv,f,die,StraßenWände,,,,,Zusammensetzung aus 'Straßen' + 'Wand'
StraßenFenster,Substantiv,n,das,StraßenFenster,,,,,Zusammensetzung aus 'Straßen' + 'Fenster'
StraßenBoden,Substantiv,m,der,StraßenBöden,,,,,Zusammensetzung aus 'Straßen' + 'Boden'
StraßenPlan,Substantiv,m,der,StraßenPläne,,,,,Zusammensetzung aus 'Straßen' + 'Plan'
StraßenListe,Substantiv,f,die,StraßenListen,,,,,Zusammensetzung aus 'Straßen' + 'Liste'
StraßenBuch,Substantiv,n,das,StraßenBücher,,,,,Zusammensetzung aus 'Straßen' + 'Buch'
StraßenSeite,Substantiv,f,die,StraßenSeiten,,,,,Zusammensetzung aus 'Straßen' + 'Seite'
StraßenNummer,Substantiv,f,die,StraßenNummern,,,,,Zusammensetzung aus 'Straßen' + 'Nummer'
StraßenFehler,Substantiv,m,der,StraßenFehler,,,,,Zusammensetzung aus 'Straßen' + 'Fehler'
StraßenServer,Substantiv,m,der,StraßenServer,,,,,Zusammensetzung aus 'Straßen' + 'Server'
StraßenClient,Substantiv,m,der,StraßenClients,,,,,Zusammensetzung aus 'Straßen' + 'Client'
StraßenVertrag,Substantiv,m,der,StraßenVerträge,,,,,Zusammensetzung aus 'Straßen' + 'Vertrag'
StraßenGesetz,Substantiv,n,das,StraßenGesetze,,,,,Zusammensetzung aus 'Straßen' + 'Gesetz'
StraßenPrüfung,Substantiv,f,die,StraßenPrüfungen,,,,,Zusammensetzung aus 'Straßen' + 'Prüfung'
StraßenReise,Substantiv,f,die,StraßenReisen,,,,,Zusammensetzung aus 'Straßen' + 'Reise'
StraßenHafen,Substantiv,m,der,StraßenHäfen,,,,,Zusammensetzung aus 'Straßen' + 'Hafen'
StraßenBahnhof,Substantiv,m,der,StraßenBahnhöfe,,,,,Zusammensetzung aus 'Straßen' + 'Bahnhof'
StraßenFlughafen,Substantiv,m,der,StraßenFlughäfen,,,,,Zusammensetzung aus 'Straßen' + 'Flughafen'
StraßenKarte,Substantiv,f,die,StraßenKarten,,,,,Zusammensetzung aus 'Straßen' + 'Karte'
StraßenPreis,Substantiv,m,der,StraßenPreise,,,,,Zusammensetzung aus 'Straßen' + 'Preis'
StraßenPark,Substantiv,m,der,StraßenParks,,,,,Zusammensetzung aus 'Straßen' + 'Park'
StraßenPlatz,Substantiv,m,der,StraßenPlätze,,,,,Zusammensetzung aus 'Straßen' + 'Platz'
StraßenStraße,Substantiv,f,die,StraßenStraßen,,,,,Zusammensetzung aus 'Straßen' + 'Straße'
StraßenBrücke,Substantiv,f,die,StraßenBrücken,,,,,Zusammensetzung aus 'Straßen' + 'Brücke'
StraßenTunnel,Substantiv,m,der,StraßenTunnel,,,,,Zusammensetzung aus 'Straßen' + 'Tunnel'
StraßenZentrum,Substantiv,n,das,StraßenZentren,,,,,Zusammensetzung aus 'Straßen' + 'Zentrum'
StraßenHaus,Substantiv,n,das,StraßenHäuser,,,,,Zusammensetzung aus 'Straßen' + 'Haus'
StraßenWerk,Substantiv,n,das,StraßenWerke,,,,,Zusammensetzung aus 'Straßen' + 'Werk'
StraßenTicket,Substantiv,n,das,StraßenTickets,,,,,Zusammensetzung aus 'Straßen' + 'Ticket'
StraßenStation,Substantiv,f,die,StraßenStationen,,,,,Zusammensetzung aus 'Straßen' + 'Station'
StraßenLeitung,Substantiv,f,die,StraßenLeitungen,,,,,Zusammensetzung aus 'Straßen' + 'Leitung'
StraßenLeiter,Substantiv,m,der,StraßenLeiter,,,,,Zusammensetzung aus 'Straßen' + 'Leiter'
StraßenLeuchte,Substantiv,f,die,StraßenLeuchten,,,,,Zusammensetzung aus 'Straßen' + 'Leuchte'
StraßenSchalter,Substantiv,m,der,StraßenSchalter,,,,,Zusammensetzung aus 'Straßen' + 'Schalter'
StraßenSensor,Substantiv,m,der,StraßenSensoren,,,,,Zusammensetzung aus 'Straßen' + 'Sensor'
StraßenAktuator,Substantiv,m,der,StraßenAktuatoren,,,,,Zusammensetzung aus 'Straßen' + 'Aktuator'
SeeTür,Substantiv,f,die,SeeTüren,,,,,Zusammensetzung aus 'See' + 'Tür'
SeeDach,Substantiv,n,das,SeeDächer,,,,,Zusammensetzung aus 'See' + 'Dach'
SeeWand,Substantiv,f,die,SeeWände,,,,,Zusammensetzung aus 'See' + 'Wand'
SeeFenster,Substantiv,n,das,SeeFenster,,,,,Zusammensetzung aus 'See' + 'Fenster'
SeeBoden,Substantiv,m,der,SeeBöden,,,,,Zusammensetzung aus 'See' + 'Boden'
SeePlan,Substantiv,m,der,SeePläne,,,,,Zusammensetzung aus 'See' + 'Plan'
SeeListe,Substantiv,f,die,SeeListen,,,,,Zusammensetzung aus 'See' + 'Liste'
SeeBuch,Substantiv,n,das,SeeBücher,,,,,Zusammensetzung aus 'See' + 'Buch'
SeeSeite,Substantiv,f,die,SeeSeiten,,,,,Zusammensetzung aus 'See' + 'Seite'
SeeNummer,Substantiv,f,die,SeeNummern,,,,,Zusammensetzung aus 'See' + 'Nummer'
SeeFehler,Substantiv,m,der,SeeFehler,,,,,Zusammensetzung aus 'See' + 'Fehler'
SeeServer,Substantiv,m,der,SeeServer,,,,,Zusammensetzung aus 'See' + 'Server'
SeeClient,Substantiv,m,der,SeeClients,,,,,Zusammensetzung aus 'See' + 'Client'
SeeVertrag,Substantiv,m,der,SeeVerträge,,,,,Zusammensetzung aus 'See' + 'Vertrag'
SeeGesetz,Substantiv,n,das,SeeGesetze,,,,,Zusammensetzung aus 'See' + 'Gesetz'
SeePrüfung,Substantiv,f,die,SeePrüfungen,,,,,Zusammensetzung aus 'See' + 'Prüfung'
SeeReise,Substantiv,f,die,SeeReisen,,,,,Zusammensetzung aus 'See' + 'Reise'
SeeHafen,Substantiv,m,der,SeeHäfen,,,,,Zusammensetzung aus 'See' + 'Hafen'
SeeBahnhof,Substantiv,m,der,SeeBahnhöfe,,,,,Zusammensetzung aus 'See' + 'Bahnhof'
SeeFlughafen,Substantiv,m,der,SeeFlughäfen,,,,,Zusammensetzung aus 'See' + 'Flughafen'
SeeKarte,Substantiv,f,die,SeeKarten,,,,,Zusammensetzung aus 'See' + 'Karte'
SeePreis,Substantiv,m,der,SeePreise,,,,,Zusammensetzung aus 'See' + 'Preis'
SeePark,Substantiv,m,der,SeeParks,,,,,Zusammensetzung aus 'See' + 'Park'
SeePlatz,Substantiv,m,der,SeePlätze,,,,,Zusammensetzung aus 'See' + 'Platz'
SeeStraße,Substantiv,f,die,SeeStraßen,,,,,Zusammensetzung aus 'See' + 'Straße'
SeeBrücke,Substantiv,f,die,SeeBrücken,,,,,Zusammensetzung aus 'See' + 'Brücke'
SeeTunnel,Substantiv,m,der,SeeTunnel,,,,,Zusammensetzung aus 'See' + 'Tunnel'
SeeZentrum,Substantiv,n,das,SeeZentren,,,,,Zusammensetzung aus 'See' + 'Zentrum'
SeeHaus,Substantiv,n,das,SeeHäuser,,,,,Zusammensetzung aus 'See' + 'Haus'
SeeWerk,Substantiv,n,das,SeeWerke,,,,,Zusammensetzung aus 'See' + 'Werk'
SeeTicket,Substantiv,n,das,SeeTickets,,,,,Zusammensetzung aus 'See' + 'Ticket'
SeeStation,Substantiv,f,die,SeeStationen,,,,,Zusammensetzung aus 'See' + 'Station'
SeeLeitung,Substantiv,f,die,SeeLeitungen,,,,,Zusammensetzung aus 'See' + 'Leitung'
SeeLeiter,Substantiv,m,der,SeeLeiter,,,,,Zusammensetzung aus 'See' + 'Leiter'
SeeLeuchte,Substantiv,f,die,SeeLeuchten,,,,,Zusammensetzung aus 'See' + 'Leuchte'
SeeSchalter,Substantiv,m,der,SeeSchalter,,,,,Zusammensetzung aus 'See' + 'Schalter'
SeeSensor,Substantiv,m,der,SeeSensoren,,,,,Zusammensetzung aus 'See' + 'Sensor'
SeeAktuator,Substantiv,m,der,SeeAktuatoren,,,,,Zusammensetzung aus 'See' + 'Aktuator'
FlussTür,Substantiv,f,die,FlussTüren,,,,,Zusammensetzung aus 'Fluss' + 'Tür'
FlussDach,Substantiv,n,das,FlussDächer,,,,,Zusammensetzung aus 'Fluss' + 'Dach'
FlussWand,Substantiv,f,die,FlussWände,,,,,Zusammensetzung aus 'Fluss' + 'Wand'
FlussFenster,Substantiv,n,das,FlussFenster,,,,,Zusammensetzung aus 'Fluss' + 'Fenster'
FlussBoden,Substantiv,m,der,FlussBöden,,,,,Zusammensetzung aus 'Fluss' + 'Boden'
FlussPlan,Substantiv,m,der,FlussPläne,,,,,Zusammensetzung aus 'Fluss' + 'Plan'
FlussListe,Substantiv,f,die,FlussListen,,,,,Zusammensetzung aus 'Fluss' + 'Liste'
FlussBuch,Substantiv,n,das,FlussBücher,,,,,Zusammensetzung aus 'Fluss' + 'Buch'
FlussSeite,Substantiv,f,die,FlussSeiten,,,,,Zusammensetzung aus 'Fluss' + 'Seite'
FlussNummer,Substantiv,f,die,FlussNummern,,,,,Zusammensetzung aus 'Fluss' + 'Nummer'
FlussFehler,Substantiv,m,der,FlussFehler,,,,,Zusammensetzung aus 'Fluss' + 'Fehler'
FlussServer,Substantiv,m,der,FlussServer,,,,,Zusammensetzung aus 'Fluss' + 'Server'
FlussClient,Substantiv,m,der,FlussClients,,,,,Zusammensetzung aus 'Fluss' + 'Client'
FlussVertrag,Substantiv,m,der,FlussVerträge,,,,,Zusammensetzung aus 'Fluss' + 'Vertrag'
FlussGesetz,Substantiv,n,das,FlussGesetze,,,,,Zusammensetzung aus 'Fluss' + 'Gesetz'
FlussPrüfung,Substantiv,f,die,FlussPrüfungen,,,,,Zusammensetzung aus 'Fluss' + 'Prüfung'
FlussReise,Substantiv,f,die,FlussReisen,,,,,Zusammensetzung aus 'Fluss' + 'Reise'
FlussHafen,Substantiv,m,der,FlussHäfen,,,,,Zusammensetzung aus 'Fluss' + 'Hafen'
FlussBahnhof,Substantiv,m,der,FlussBahnhöfe,,,,,Zusammensetzung aus 'Fluss' + 'Bahnhof'
FlussFlughafen,Substantiv,m,der,FlussFlughäfen,,,,,Zusammensetzung aus 'Fluss' + 'Flughafen'
FlussKarte,Substantiv,f,die,FlussKarten,,,,,Zusammensetzung aus 'Fluss' + 'Karte'
FlussPreis,Substantiv,m,der,FlussPreise,,,,,Zusammensetzung aus 'Fluss' + 'Preis'
FlussPark,Substantiv,m,der,FlussParks,,,,,Zusammensetzung aus 'Fluss' + 'Park'
FlussPlatz,Substantiv,m,der,FlussPlätze,,,,,Zusammensetzung aus 'Fluss' + 'Platz'
FlussStraße,Substantiv,f,die,FlussStraßen,,,,,Zusammensetzung aus 'Fluss' + 'Straße'
FlussBrücke,Substantiv,f,die,FlussBrücken,,,,,Zusammensetzung aus 'Fluss' + 'Brücke'
FlussTunnel,Substantiv,m,der,FlussTunnel,,,,,Zusammensetzung aus 'Fluss' + 'Tunnel'
FlussZentrum,Substantiv,n,das,FlussZentren,,,,,Zusammensetzung aus 'Fluss' + 'Zentrum'
FlussHaus,Substantiv,n,das,FlussHäuser,,,,,Zusammensetzung aus 'Fluss' + 'Haus'
FlussWerk,Substantiv,n,das,FlussWerke,,,,,Zusammensetzung aus 'Fluss' + 'Werk'
FlussTicket,Substantiv,n,das,FlussTickets,,,,,Zusammensetzung aus 'Fluss' + 'Ticket'
FlussStation,Substantiv,f,die,FlussStationen,,,,,Zusammensetzung aus 'Fluss' + 'Station'
FlussLeitung,Substantiv,f,die,FlussLeitungen,,,,,Zusammensetzung aus 'Fluss' + 'Leitung'
FlussLeiter,Substantiv,m,der,FlussLeiter,,,,,Zusammensetzung aus 'Fluss' + 'Leiter'
FlussLeuchte,Substantiv,f,die,FlussLeuchten,,,,,Zusammensetzung aus 'Fluss' + 'Leuchte'
FlussSchalter,Substantiv,m,der,FlussSchalter,,,,,Zusammensetzung aus 'Fluss' + 'Schalter'
FlussSensor,Substantiv,m,der,FlussSensoren,,,,,Zusammensetzung aus 'Fluss' + 'Sensor'
FlussAktuator,Substantiv,m,der,FlussAktuatoren,,,,,Zusammensetzung aus 'Fluss' + 'Aktuator'
BergTür,Substantiv,f,die,BergTüren,,,,,Zusammensetzung aus 'Berg' + 'Tür'
BergDach,Substantiv,n,das,BergDächer,,,,,Zusammensetzung aus 'Berg' + 'Dach'
BergWand,Substantiv,f,die,BergWände,,,,,Zusammensetzung aus 'Berg' + 'Wand'
BergFenster,Substantiv,n,das,BergFenster,,,,,Zusammensetzung aus 'Berg' + 'Fenster'
BergBoden,Substantiv,m,der,BergBöden,,,,,Zusammensetzung aus 'Berg' + 'Boden'
BergPlan,Substantiv,m,der,BergPläne,,,,,Zusammensetzung aus 'Berg' + 'Plan'
BergListe,Substantiv,f,die,BergListen,,,,,Zusammensetzung aus 'Berg' + 'Liste'
BergBuch,Substantiv,n,das,BergBücher,,,,,Zusammensetzung aus 'Berg' + 'Buch'
BergSeite,Substantiv,f,die,BergSeiten,,,,,Zusammensetzung aus 'Berg' + 'Seite'
BergNummer,Substantiv,f,die,BergNummern,,,,,Zusammensetzung aus 'Berg' + 'Nummer'
BergFehler,Substantiv,m,der,BergFehler,,,,,Zusammensetzung aus 'Berg' + 'Fehler'
BergServer,Substantiv,m,der,BergServer,,,,,Zusammensetzung aus 'Berg' + 'Server'
BergClient,Substantiv,m,der,BergClients,,,,,Zusammensetzung aus 'Berg' + 'Client'
BergVertrag,Substantiv,m,der,BergVerträge,,,,,Zusammensetzung aus 'Berg' + 'Vertrag'
BergGesetz,Substantiv,n,das,BergGesetze,,,,,Zusammensetzung aus 'Berg' + 'Gesetz'
BergPrüfung,Substantiv,f,die,BergPrüfungen,,,,,Zusammensetzung aus 'Berg' + 'Prüfung'
BergReise,Substantiv,f,die,BergReisen,,,,,Zusammensetzung aus 'Berg' + 'Reise'
BergHafen,Substantiv,m,der,BergHäfen,,,,,Zusammensetzung aus 'Berg' + 'Hafen'
BergBahnhof,Substantiv,m,der,BergBahnhöfe,,,,,Zusammensetzung aus 'Berg' + 'Bahnhof'
BergFlughafen,Substantiv,m,der,BergFlughäfen,,,,,Zusammensetzung aus 'Berg' + 'Flughafen'
BergKarte,Substantiv,f,die,BergKarten,,,,,Zusammensetzung aus 'Berg' + 'Karte'
BergPreis,Substantiv,m,der,BergPreise,,,,,Zusammensetzung aus 'Berg' + 'Preis'
BergPark,Substantiv,m,der,BergParks,,,,,Zusammensetzung aus 'Berg' + 'Park'
BergPlatz,Substantiv,m,der,BergPlätze,,,,,Zusammensetzung aus 'Berg' + 'Platz'
BergStraße,Substantiv,f,die,BergStraßen,,,,,Zusammensetzung aus 'Berg' + 'Straße'
BergBrücke,Substantiv,f,die,BergBrücken,,,,,Zusammensetzung aus 'Berg' + 'Brücke'
BergTunnel,Substantiv,m,der,BergTunnel,,,,,Zusammensetzung aus 'Berg' + 'Tunnel'
BergZentrum,Substantiv,n,das,BergZentren,,,,,Zusammensetzung aus 'Berg' + 'Zentrum'
BergHaus,Substantiv,n,das,BergHäuser,,,,,Zusammensetzung aus 'Berg' + 'Haus'
BergWerk,Substantiv,n,das,BergWerke,,,,,Zusammensetzung aus 'Berg' + 'Werk'
BergTicket,Substantiv,n,das,BergTickets,,,,,Zusammensetzung aus 'Berg' + 'Ticket'
BergStation,Substantiv,f,die,BergStationen,,,,,Zusammensetzung aus 'Berg' + 'Station'
BergLeitung,Substantiv,f,die,BergLeitungen,,,,,Zusammensetzung aus 'Berg' + 'Leitung'
BergLeiter,Substantiv,m,der,BergLeiter,,,,,Zusammensetzung aus 'Berg' + 'Leiter'
BergLeuchte,Substantiv,f,die,BergLeuchten,,,,,Zusammensetzung aus 'Berg' + 'Leuchte'
BergSchalter,Substantiv,m,der,BergSchalter,,,,,Zusammensetzung aus 'Berg' + 'Schalter'
BergSensor,Substantiv,m,der,BergSensoren,,,,,Zusammensetzung aus 'Berg' + 'Sensor'
BergAktuator,Substantiv,m,der,BergAktuatoren,,,,,Zusammensetzung aus 'Berg' + 'Aktuator'
WaldTür,Substantiv,f,die,WaldTüren,,,,,Zusammensetzung aus 'Wald' + 'Tür'
WaldDach,Substantiv,n,das,WaldDächer,,,,,Zusammensetzung aus 'Wald' + 'Dach'
WaldWand,Substantiv,f,die,WaldWände,,,,,Zusammensetzung aus 'Wald' + 'Wand'
WaldFenster,Substantiv,n,das,WaldFenster,,,,,Zusammensetzung aus 'Wald' + 'Fenster'
WaldBoden,Substantiv,m,der,WaldBöden,,,,,Zusammensetzung aus 'Wald' + 'Boden'
WaldPlan,Substantiv,m,der,WaldPläne,,,,,Zusammensetzung aus 'Wald' + 'Plan'
WaldListe,Substantiv,f,die,WaldListen,,,,,Zusammensetzung aus 'Wald' + 'Liste'
WaldBuch,Substantiv,n,das,WaldBücher,,,,,Zusammensetzung aus 'Wald' + 'Buch'
WaldSeite,Substantiv,f,die,WaldSeiten,,,,,Zusammensetzung aus 'Wald' + 'Seite'
WaldNummer,Substantiv,f,die,WaldNummern,,,,,Zusammensetzung aus 'Wald' + 'Nummer'
WaldFehler,Substantiv,m,der,WaldFehler,,,,,Zusammensetzung aus 'Wald' + 'Fehler'
WaldServer,Substantiv,m,der,WaldServer,,,,,Zusammensetzung aus 'Wald' + 'Server'
WaldClient,Substantiv,m,der,WaldClients,,,,,Zusammensetzung aus 'Wald' + 'Client'
WaldVertrag,Substantiv,m,der,WaldVerträge,,,,,Zusammensetzung aus 'Wald' + 'Vertrag'
WaldGesetz,Substantiv,n,das,WaldGesetze,,,,,Zusammensetzung aus 'Wald' + 'Gesetz'
WaldPrüfung,Substantiv,f,die,WaldPrüfungen,,,,,Zusammensetzung aus 'Wald' + 'Prüfung'
WaldReise,Substantiv,f,die,WaldReisen,,,,,Zusammensetzung aus 'Wald' + 'Reise'
WaldHafen,Substantiv,m,der,WaldHäfen,,,,,Zusammensetzung aus 'Wald' + 'Hafen'
WaldBahnhof,Substantiv,m,der,WaldBahnhöfe,,,,,Zusammensetzung aus 'Wald' + 'Bahnhof'
WaldFlughafen,Substantiv,m,der,WaldFlughäfen,,,,,Zusammensetzung aus 'Wald' + 'Flughafen'
WaldKarte,Substantiv,f,die,WaldKarten,,,,,Zusammensetzung aus 'Wald' + 'Karte'
WaldPreis,Substantiv,m,der,WaldPreise,,,,,Zusammensetzung aus 'Wald' + 'Preis'
WaldPark,Substantiv,m,der,WaldParks,,,,,Zusammensetzung aus 'Wald' + 'Park'
WaldPlatz,Substantiv,m,der,WaldPlätze,,,,,Zusammensetzung aus 'Wald' + 'Platz'
WaldStraße,Substantiv,f,die,WaldStraßen,,,,,Zusammensetzung aus 'Wald' + 'Straße'
WaldBrücke,Substantiv,f,die,WaldBrücken,,,,,Zusammensetzung aus 'Wald' + 'Brücke'
WaldTunnel,Substantiv,m,der,WaldTunnel,,,,,Zusammensetzung aus 'Wald' + 'Tunnel'
WaldZentrum,Substantiv,n,das,WaldZentren,,,,,Zusammensetzung aus 'Wald' + 'Zentrum'
WaldHaus,Substantiv,n,das,WaldHäuser,,,,,Zusammensetzung aus 'Wald' + 'Haus'
WaldWerk,Substantiv,n,das,WaldWerke,,,,,Zusammensetzung aus 'Wald' + 'Werk'
WaldTicket,Substantiv,n,das,WaldTickets,,,,,Zusammensetzung aus 'Wald' + 'Ticket'
WaldStation,Substantiv,f,die,WaldStationen,,,,,Zusammensetzung aus 'Wald' + 'Station'
WaldLeitung,Substantiv,f,die,WaldLeitungen,,,,,Zusammensetzung aus 'Wald' + 'Leitung'
WaldLeiter,Substantiv,m,der,WaldLeiter,,,,,Zusammensetzung aus 'Wald' + 'Leiter'
WaldLeuchte,Substantiv,f,die,WaldLeuchten,,,,,Zusammensetzung aus 'Wald' + 'Leuchte'
WaldSchalter,Substantiv,m,der,WaldSchalter,,,,,Zusammensetzung aus 'Wald' + 'Schalter'
WaldSensor,Substantiv,m,der,WaldSensoren,,,,,Zusammensetzung aus 'Wald' + 'Sensor'
WaldAktuator,Substantiv,m,der,WaldAktuatoren,,,,,Zusammensetzung aus 'Wald' + 'Aktuator'
InselTür,Substantiv,f,die,InselTüren,,,,,Zusammensetzung aus 'Insel' + 'Tür'
InselDach,Substantiv,n,das,InselDächer,,,,,Zusammensetzung aus 'Insel' + 'Dach'
InselWand,Substantiv,f,die,InselWände,,,,,Zusammensetzung aus 'Insel' + 'Wand'
InselFenster,Substantiv,n,das,InselFenster,,,,,Zusammensetzung aus 'Insel' + 'Fenster'
InselBoden,Substantiv,m,der,InselBöden,,,,,Zusammensetzung aus 'Insel' + 'Boden'
InselPlan,Substantiv,m,der,InselPläne,,,,,Zusammensetzung aus 'Insel' + 'Plan'
InselListe,Substantiv,f,die,InselListen,,,,,Zusammensetzung aus 'Insel' + 'Liste'
InselBuch,Substantiv,n,das,InselBücher,,,,,Zusammensetzung aus 'Insel' + 'Buch'
InselSeite,Substantiv,f,die,InselSeiten,,,,,Zusammensetzung aus 'Insel' + 'Seite'
InselNummer,Substantiv,f,die,InselNummern,,,,,Zusammensetzung aus 'Insel' + 'Nummer'
InselFehler,Substantiv,m,der,InselFehler,,,,,Zusammensetzung aus 'Insel' + 'Fehler'
InselServer,Substantiv,m,der,InselServer,,,,,Zusammensetzung aus 'Insel' + 'Server'
InselClient,Substantiv,m,der,InselClients,,,,,Zusammensetzung aus 'Insel' + 'Client'
InselVertrag,Substantiv,m,der,InselVerträge,,,,,Zusammensetzung aus 'Insel' + 'Vertrag'
InselGesetz,Substantiv,n,das,InselGesetze,,,,,Zusammensetzung aus 'Insel' + 'Gesetz'
InselPrüfung,Substantiv,f,die,InselPrüfungen,,,,,Zusammensetzung aus 'Insel' + 'Prüfung'
InselReise,Substantiv,f,die,InselReisen,,,,,Zusammensetzung aus 'Insel' + 'Reise'
InselHafen,Substantiv,m,der,InselHäfen,,,,,Zusammensetzung aus 'Insel' + 'Hafen'
InselBahnhof,Substantiv,m,der,InselBahnhöfe,,,,,Zusammensetzung aus 'Insel' + 'Bahnhof'
InselFlughafen,Substantiv,m,der,InselFlughäfen,,,,,Zusammensetzung aus 'Insel' + 'Flughafen'
InselKarte,Substantiv,f,die,InselKarten,,,,,Zusammensetzung aus 'Insel' + 'Karte'
InselPreis,Substantiv,m,der,InselPreise,,,,,Zusammensetzung aus 'Insel' + 'Preis'
InselPark,Substantiv,m,der,InselParks,,,,,Zusammensetzung aus 'Insel' + 'Park'
InselPlatz,Substantiv,m,der,InselPlätze,,,,,Zusammensetzung aus 'Insel' + 'Platz'
InselStraße,Substantiv,f,die,InselStraßen,,,,,Zusammensetzung aus 'Insel' + 'Straße'
InselBrücke,Substantiv,f,die,InselBrücken,,,,,Zusammensetzung aus 'Insel' + 'Brücke'
InselTunnel,Substantiv,m,der,InselTunnel,,,,,Zusammensetzung aus 'Insel' + 'Tunnel'
InselZentrum,Substantiv,n,das,InselZentren,,,,,Zusammensetzung aus 'Insel' + 'Zentrum'
InselHaus,Substantiv,n,das,InselHäuser,,,,,Zusammensetzung aus 'Insel' + 'Haus'
InselWerk,Substantiv,n,das,InselWerke,,,,,Zusammensetzung aus 'Insel' + 'Werk'
InselTicket,Substantiv,n,das,InselTickets,,,,,Zusammensetzung aus 'Insel' + 'Ticket'
InselStation,Substantiv,f,die,InselStationen,,,,,Zusammensetzung aus 'Insel' + 'Station'
InselLeitung,Substantiv,f,die,InselLeitungen,,,,,Zusammensetzung aus 'Insel' + 'Leitung'
InselLeiter,Substantiv,m,der,InselLeiter,,,,,Zusammensetzung aus 'Insel' + 'Leiter'
InselLeuchte,Substantiv,f,die,InselLeuchten,,,,,Zusammensetzung aus 'Insel' + 'Leuchte'
InselSchalter,Substantiv,m,der,InselSchalter,,,,,Zusammensetzung aus 'Insel' + 'Schalter'
InselSensor,Substantiv,m,der,InselSensoren,,,,,Zusammensetzung aus 'Insel' + 'Sensor'
InselAktuator,Substantiv,m,der,InselAktuatoren,,,,,Zusammensetzung aus 'Insel' + 'Aktuator'
StrandTür,Substantiv,f,die,StrandTüren,,,,,Zusammensetzung aus 'Strand' + 'Tür'
StrandDach,Substantiv,n,das,StrandDächer,,,,,Zusammensetzung aus 'Strand' + 'Dach'
StrandWand,Substantiv,f,die,StrandWände,,,,,Zusammensetzung aus 'Strand' + 'Wand'
StrandFenster,Substantiv,n,das,StrandFenster,,,,,Zusammensetzung aus 'Strand' + 'Fenster'
StrandBoden,Substantiv,m,der,StrandBöden,,,,,Zusammensetzung aus 'Strand' + 'Boden'
StrandPlan,Substantiv,m,der,StrandPläne,,,,,Zusammensetzung aus 'Strand' + 'Plan'
StrandListe,Substantiv,f,die,StrandListen,,,,,Zusammensetzung aus 'Strand' + 'Liste'
StrandBuch,Substantiv,n,das,StrandBücher,,,,,Zusammensetzung aus 'Strand' + 'Buch'
StrandSeite,Substantiv,f,die,StrandSeiten,,,,,Zusammensetzung aus 'Strand' + 'Seite'
StrandNummer,Substantiv,f,die,StrandNummern,,,,,Zusammensetzung aus 'Strand' + 'Nummer'
StrandFehler,Substantiv,m,der,StrandFehler,,,,,Zusammensetzung aus 'Strand' + 'Fehler'
StrandServer,Substantiv,m,der,StrandServer,,,,,Zusammensetzung aus 'Strand' + 'Server'
StrandClient,Substantiv,m,der,StrandClients,,,,,Zusammensetzung aus 'Strand' + 'Client'
StrandVertrag,Substantiv,m,der,StrandVerträge,,,,,Zusammensetzung aus 'Strand' + 'Vertrag'
StrandGesetz,Substantiv,n,das,StrandGesetze,,,,,Zusammensetzung aus 'Strand' + 'Gesetz'
StrandPrüfung,Substantiv,f,die,StrandPrüfungen,,,,,Zusammensetzung aus 'Strand' + 'Prüfung'
StrandReise,Substantiv,f,die,StrandReisen,,,,,Zusammensetzung aus 'Strand' + 'Reise'
StrandHafen,Substantiv,m,der,StrandHäfen,,,,,Zusammensetzung aus 'Strand' + 'Hafen'
StrandBahnhof,Substantiv,m,der,StrandBahnhöfe,,,,,Zusammensetzung aus 'Strand' + 'Bahnhof'
StrandFlughafen,Substantiv,m,der,StrandFlughäfen,,,,,Zusammensetzung aus 'Strand' + 'Flughafen'
StrandKarte,Substantiv,f,die,StrandKarten,,,,,Zusammensetzung aus 'Strand' + 'Karte'
StrandPreis,Substantiv,m,der,StrandPreise,,,,,Zusammensetzung aus 'Strand' + 'Preis'
StrandPark,Substantiv,m,der,StrandParks,,,,,Zusammensetzung aus 'Strand' + 'Park'
StrandPlatz,Substantiv,m,der,StrandPlätze,,,,,Zusammensetzung aus 'Strand' + 'Platz'
